city,state_name,lat,lng
Provo,Utah,40.2457,-111.6457
Worcester,Massachusetts,42.2705,-71.8079
Murrieta,California,33.572,-117.1909
Greenville,South Carolina,34.8353,-82.3647
Wichita,Kansas,37.6896,-97.3442
Toledo,Ohio,41.6639,-83.5822
Staten Island,New York,40.5834,-74.1496
Des Moines,Iowa,41.5725,-93.6105
Long Beach,California,33.7981,-118.1675
Port St. Lucie,Florida,27.2796,-80.3883
Denton,Texas,33.2176,-97.1419
Madison,Wisconsin,43.0826,-89.3931
Reno,Nevada,39.5497,-119.8483
Harrisburg,Pennsylvania,40.2752,-76.8843
Little Rock,Arkansas,34.7256,-92.3576
Oakland,California,37.7903,-122.2165
Durham,North Carolina,35.9794,-78.9031
Winston-Salem,North Carolina,36.1029,-80.2611
Bonita Springs,Florida,26.3559,-81.7861
Indio,California,33.7346,-116.2346
Palm Coast,Florida,29.5392,-81.246
Chattanooga,Tennessee,35.0657,-85.2488
Spokane,Washington,47.6671,-117.433
Syracuse,New York,43.0409,-76.1438
Lancaster,Pennsylvania,40.0421,-76.3012
Arlington,Texas,32.6998,-97.125
Stockton,California,37.9765,-121.3109
Poughkeepsie,New York,41.6949,-73.921
Augusta,Georgia,33.3645,-82.0708
Boise,Idaho,43.6007,-116.2312
Oxnard,California,34.1963,-119.1815
Scranton,Pennsylvania,41.4044,-75.6649
Modesto,California,37.6374,-121.0028
Kissimmee,Florida,28.3042,-81.4164
Aurora,Colorado,39.7087,-104.7273
Youngstown,Ohio,41.0993,-80.6463
Fayetteville,Arkansas,36.0713,-94.166
Anaheim,California,33.839,-117.8572
Pensacola,Florida,30.4427,-87.1886
Victorville,California,34.5277,-117.3536
Lancaster,California,34.6935,-118.1753
Greensboro,North Carolina,36.0956,-79.8269
Corpus Christi,Texas,27.726,-97.3755
Fort Wayne,Indiana,41.0886,-85.1437
Santa Ana,California,33.7366,-117.8819
Flint,Michigan,43.0235,-83.6922
Fayetteville,North Carolina,35.0846,-78.9776
Jackson,Mississippi,32.3163,-90.2124
Santa Rosa,California,38.4458,-122.7067
Lansing,Michigan,42.7142,-84.5601
San Juan,Puerto Rico,18.4037,-66.0636
Lexington,Kentucky,38.0423,-84.4587
Ann Arbor,Michigan,42.2755,-83.7312
Henderson,Nevada,36.0133,-115.038
Huntsville,Alabama,34.6988,-86.6412
Mobile,Alabama,30.6783,-88.1162
Fort Collins,Colorado,40.5478,-105.0656
Asheville,North Carolina,35.5704,-82.5536
Santa Clarita,California,34.4175,-118.4964
St. Paul,Minnesota,44.9477,-93.104
Antioch,California,37.9789,-121.7958
Lakeland,Florida,28.0556,-81.9545
Trenton,New Jersey,40.2236,-74.7641
Lincoln,Nebraska,40.809,-96.6788
Springfield,Missouri,37.1943,-93.2916
Anchorage,Alaska,61.1508,-149.1091
Plano,Texas,33.0502,-96.7487
Irvine,California,33.6772,-117.7738
Davenport,Iowa,41.5563,-90.6052
Rockford,Illinois,42.2597,-89.0641
Newark,New Jersey,40.7245,-74.1725
South Bend,Indiana,41.6767,-86.2696
Shreveport,Louisiana,32.4656,-93.7956
Round Lake Beach,Illinois,42.379,-88.0811
Savannah,Georgia,32.0281,-81.1784
Myrtle Beach,South Carolina,33.7096,-78.8843
Chula Vista,California,32.6281,-117.0145
Eugene,Oregon,44.0563,-123.1173
Canton,Ohio,40.8075,-81.3677
Lubbock,Texas,33.5659,-101.8878
Reading,Pennsylvania,40.34,-75.9267
Winter Haven,Florida,28.0118,-81.7017
Salem,Oregon,44.9231,-123.0246
St. Petersburg,Florida,27.7931,-82.6652
Lafayette,Louisiana,30.2084,-92.0323
Laredo,Texas,27.5629,-99.4875
Jersey City,New Jersey,40.7161,-74.0682
Concord,North Carolina,35.3933,-80.6366
Columbus,Georgia,32.51,-84.8771
Chandler,Arizona,33.2826,-111.8516
McKinney,Texas,33.2015,-96.6669
Scottsdale,Arizona,33.6872,-111.8651
Killeen,Texas,31.0754,-97.7296
Tallahassee,Florida,30.4551,-84.2526
Peoria,Illinois,40.752,-89.6153
Wilmington,North Carolina,34.21,-77.8866
Montgomery,Alabama,32.3473,-86.2666
Gilbert,Arizona,33.3101,-111.7463
Glendale,Arizona,33.5791,-112.2311
North Las Vegas,Nevada,36.288,-115.0901
Chesapeake,Virginia,36.6778,-76.3024
Barnstable,Massachusetts,41.6722,-70.3599
Norfolk,Virginia,36.8945,-76.259
Fremont,California,37.5265,-121.9852
Kennewick,Washington,46.1978,-119.1732
Garland,Texas,32.91,-96.6305
Irving,Texas,32.8584,-96.9702
Visalia,California,36.3276,-119.3269
Atlantic City,New Jersey,39.3797,-74.4527
Paradise,Nevada,36.0807,-115.1369
Nashua,New Hampshire,42.7491,-71.491
Arlington,Virginia,38.8786,-77.1011
Hialeah,Florida,25.8696,-80.3046
York,Pennsylvania,39.9651,-76.7315
Evansville,Indiana,37.9881,-87.5341
Avondale,Arizona,33.3858,-112.3236
Brownsville,Texas,25.998,-97.4565
Gulfport,Mississippi,30.4271,-89.0703
Appleton,Wisconsin,44.2779,-88.3891
Bremerton,Washington,47.5436,-122.7122
Hickory,North Carolina,35.7425,-81.323
Tacoma,Washington,47.2431,-122.4531
San Bernardino,California,34.1417,-117.2946
College Station,Texas,30.5852,-96.296
Kalamazoo,Michigan,42.2749,-85.5882
Thousand Oaks,California,34.1914,-118.8755
Roanoke,Virginia,37.2785,-79.958
Fontana,California,34.0968,-117.4599
Moreno Valley,California,33.9244,-117.2045
North Port,Florida,27.0577,-82.1975
Fargo,North Dakota,46.8652,-96.8292
Green Bay,Wisconsin,44.515,-87.9896
Spring Valley,Nevada,36.0987,-115.2619
Amarillo,Texas,35.1988,-101.8311
Portland,Maine,43.6773,-70.2715
Santa Barbara,California,34.4285,-119.7202
Gainesville,Florida,29.6804,-82.3458
Olympia,Washington,47.0417,-122.8959
Frisco,Texas,33.1555,-96.8215
Yonkers,New York,40.9466,-73.8674
Norwich,Connecticut,41.5495,-72.0882
Glendale,California,34.1818,-118.2468
Huntington Beach,California,33.696,-118.0025
Deltona,Florida,28.905,-81.2137
Aurora,Illinois,41.7637,-88.2901
Tempe,Arizona,33.3881,-111.9318
Overland Park,Kansas,38.887,-94.687
Grand Prairie,Texas,32.6872,-97.0209
Sunrise Manor,Nevada,36.1785,-115.049
Waco,Texas,31.5598,-97.1881
Salinas,California,36.6884,-121.6317
Waterbury,Connecticut,41.5583,-73.0361
Clarksville,Tennessee,36.5695,-87.342
Cedar Rapids,Iowa,41.9665,-91.6782
Sioux Falls,South Dakota,43.5397,-96.732
Huntington,West Virginia,38.4109,-82.4344
Ontario,California,34.0393,-117.6064
Hagerstown,Maryland,39.6401,-77.7217
Erie,Pennsylvania,42.1168,-80.0733
Vancouver,Washington,45.6366,-122.5967
Nampa,Idaho,43.5845,-116.5631
Spartanburg,South Carolina,34.9437,-81.9257
Gastonia,North Carolina,35.2494,-81.1853
Fort Lauderdale,Florida,26.1412,-80.1464
Lorain,Ohio,41.4409,-82.184
Murfreesboro,Tennessee,35.8492,-86.4119
High Point,North Carolina,35.9907,-79.9938
Newport News,Virginia,37.1051,-76.5185
Rancho Cucamonga,California,34.1248,-117.5666
Hemet,California,33.7341,-116.9969
Santa Cruz,California,36.9789,-122.0346
Danbury,Connecticut,41.4016,-73.471
Peoria,Arizona,33.7844,-112.2989
Oceanside,California,33.2247,-117.3083
Elk Grove,California,38.416,-121.3842
Pembroke Pines,Florida,26.0128,-80.3382
Vallejo,California,38.1133,-122.2358
Garden Grove,California,33.7787,-117.9601
Enterprise,Nevada,36.0164,-115.2208
Medford,Oregon,42.3372,-122.8537
Cary,North Carolina,35.782,-78.8191
Marysville,Washington,48.0809,-122.1561
Corona,California,33.8616,-117.5649
Ocala,Florida,29.178,-82.1511
Fredericksburg,Virginia,38.2992,-77.4872
Gainesville,Georgia,34.2903,-83.8301
Manchester,New Hampshire,42.9848,-71.4447
Bayamón,Puerto Rico,18.3793,-66.1635
Champaign,Illinois,40.1144,-88.2735
Alexandria,Virginia,38.8185,-77.0861
Hayward,California,37.6328,-122.0772
Springfield,Illinois,39.771,-89.6538
Lakewood,Colorado,39.6977,-105.1168
Lafayette,Indiana,40.399,-86.8594
Frederick,Maryland,39.4336,-77.4141
Lake Charles,Louisiana,30.2012,-93.2122
Odessa,Texas,31.8831,-102.3406
Tuscaloosa,Alabama,33.2348,-87.5267
Warner Robins,Georgia,32.597,-83.6529
Palmdale,California,34.5944,-118.1057
Hollywood,Florida,26.0294,-80.1679
Midland,Texas,32.0249,-102.1137
Leesburg,Florida,28.7657,-81.8996
Port Arthur,Texas,29.8554,-93.9264
Muskegon,Michigan,43.2281,-86.2563
Macon,Georgia,32.8065,-83.6974
Kansas City,Kansas,39.1234,-94.7443
Sunnyvale,California,37.3836,-122.0256
Pomona,California,34.0585,-117.7626
Escondido,California,33.1347,-117.0722
Pasadena,Texas,29.6583,-95.1499
New Bedford,Massachusetts,41.6697,-70.9428
Fairfield,California,38.2592,-122.0324
Naperville,Illinois,41.7483,-88.1657
Bellevue,Washington,47.5951,-122.1535
Binghamton,New York,42.1014,-75.9093
Elkhart,Indiana,41.6916,-85.9628
Topeka,Kansas,39.0346,-95.6955
Joliet,Illinois,41.5189,-88.1499
Beaumont,Texas,30.0849,-94.1451
Paterson,New Jersey,40.9147,-74.1624
Merced,California,37.3057,-120.4778
Pueblo,Colorado,38.2705,-104.6112
Tyler,Texas,32.3184,-95.3062
Torrance,California,33.8346,-118.3417
Yuma,Arizona,32.5992,-114.5488
Metairie,Louisiana,29.9977,-90.178
Surprise,Arizona,33.68,-112.4524
Columbia,Missouri,38.9478,-92.3256
Athens,Georgia,33.9508,-83.3689
Roseville,California,38.7703,-121.3196
Thornton,Colorado,39.9197,-104.9438
Miramar,Florida,25.9773,-80.3351
Pasadena,California,34.1597,-118.139
Mesquite,Texas,32.7623,-96.5889
Olathe,Kansas,38.8832,-94.8198
Santa Maria,California,34.9334,-120.4432
Houma,Louisiana,29.5799,-90.7058
Carrollton,Texas,32.989,-96.8999
Grand Junction,Colorado,39.0876,-108.5673
Charleston,West Virginia,38.3484,-81.6323
Orange,California,33.8038,-117.8218
Fullerton,California,33.8841,-117.9279
Greeley,Colorado,40.4151,-104.7706
Carolina,Puerto Rico,18.4054,-65.9792
Las Cruces,New Mexico,32.3265,-106.7892
Panama City,Florida,30.1995,-85.6004
Harlingen,Texas,26.1917,-97.6976
West Valley City,Utah,40.6889,-112.0115
Hampton,Virginia,37.0551,-76.363
Warren,Michigan,42.4934,-83.027
Mauldin,South Carolina,34.7849,-82.3005
Bloomington,Illinois,40.4757,-88.9703
Coral Springs,Florida,26.2702,-80.2591
Round Rock,Texas,30.5254,-97.666
Yakima,Washington,46.5923,-120.5496
Sterling Heights,Michigan,42.5809,-83.0305
Kent,Washington,47.3887,-122.2129
Burlington,North Carolina,36.0758,-79.4686
Bellingham,Washington,48.7543,-122.4687
Santa Clara,California,37.3645,-121.968
Racine,Wisconsin,42.7274,-87.8135
Greenville,North Carolina,35.5956,-77.3768
Stamford,Connecticut,41.1035,-73.5583
Elizabeth,New Jersey,40.6657,-74.1912
Johnson City,Tennessee,36.3406,-82.3803
Lynchburg,Virginia,37.4003,-79.1909
Simi Valley,California,34.2663,-118.749
Fort Smith,Arkansas,35.3493,-94.3695
Kenosha,Wisconsin,42.5864,-87.8765
Norman,Oklahoma,35.2335,-97.3471
South Lyon,Michigan,42.4614,-83.6526
Boulder,Colorado,40.0249,-105.2523
Abilene,Texas,32.4543,-99.7384
Lehigh Acres,Florida,26.612,-81.6388
Pearland,Texas,29.5585,-95.3215
Berkeley,California,37.8723,-122.276
Richardson,Texas,32.9717,-96.7093
Redding,California,40.5698,-122.365
Arvada,Colorado,39.8321,-105.1511
East Los Angeles,California,34.0326,-118.1691
St. George,Utah,37.077,-113.577
Billings,Montana,45.7891,-108.5524
Yuba City,California,39.1357,-121.6381
Rochester,Minnesota,44.0151,-92.4778
Leominster,Massachusetts,42.5209,-71.7717
Kingsport,Tennessee,36.5224,-82.5453
Duluth,Minnesota,46.7756,-92.1392
Rock Hill,South Carolina,34.9416,-81.0244
Gilroy,California,37.0047,-121.5855
Cambridge,Massachusetts,42.3759,-71.1185
Sugar Land,Texas,29.5935,-95.6357
Texas City,Texas,29.4128,-94.9658
Iowa City,Iowa,41.6559,-91.5303
Saginaw,Michigan,43.4199,-83.9501
Chico,California,39.7575,-121.8152
Dover,Delaware,39.161,-75.5203
Clearwater,Florida,27.9789,-82.7622
Coeur d'Alene,Idaho,47.7041,-116.7935
Seaside,California,36.6224,-121.8191
Independence,Missouri,39.0871,-94.3501
West Jordan,Utah,40.6024,-112.0008
Brandon,Florida,27.9367,-82.3
Bloomington,Indiana,39.1637,-86.5257
El Monte,California,34.0739,-118.0291
North Charleston,South Carolina,32.9066,-80.0722
Carlsbad,California,33.1247,-117.2837
St. Cloud,Minnesota,45.5339,-94.1718
Temecula,California,33.4928,-117.1315
Clovis,California,36.8278,-119.6831
Meridian,Idaho,43.6112,-116.3968
The Woodlands,Texas,30.1738,-95.5134
Ponce,Puerto Rico,18.012,-66.6198
Westminster,Colorado,39.8837,-105.0624
Costa Mesa,California,33.6667,-117.9135
Monroe,Louisiana,32.5183,-92.0774
Utica,New York,43.0961,-75.226
Pompano Beach,Florida,26.2428,-80.1312
West Palm Beach,Florida,26.7468,-80.1316
Waterloo,Iowa,42.492,-92.3522
Everett,Washington,47.9525,-122.1669
El Centro,California,32.7867,-115.5586
Santa Fe,New Mexico,35.6619,-105.9819
Downey,California,33.9379,-118.1312
Spring Hill,Florida,28.4797,-82.53
Lowell,Massachusetts,42.6389,-71.3217
Centennial,Colorado,39.5926,-104.8674
Elgin,Illinois,42.0385,-88.3229
Richmond,California,37.9477,-122.339
Broken Arrow,Oklahoma,36.0365,-95.7809
Miami Gardens,Florida,25.9433,-80.2426
Bend,Oregon,44.0562,-121.3087
Burlington,Vermont,44.4877,-73.2314
Jurupa Valley,California,34.001,-117.4705
Sandy Springs,Georgia,33.9366,-84.3703
Gresham,Oregon,45.5023,-122.4413
Lewisville,Texas,33.0452,-96.9823
Hillsboro,Oregon,45.5272,-122.9361
San Buenaventura,California,34.2741,-119.2314
Jacksonville,North Carolina,34.7288,-77.3941
Pottstown,Pennsylvania,40.2507,-75.6444
Inglewood,California,33.9566,-118.3444
League City,Texas,29.4873,-95.1087
Eau Claire,Wisconsin,44.8199,-91.4949
Turlock,California,37.5053,-120.8588
Temple,Texas,31.1076,-97.3894
Sioux City,Iowa,42.4959,-96.3901
Salisbury,Maryland,38.3756,-75.5867
Davie,Florida,26.0789,-80.287
Daly City,California,37.6862,-122.4685
Highlands Ranch,Colorado,39.5419,-104.9708
Allen,Texas,33.1088,-96.6735
West Covina,California,34.0555,-117.9112
Sparks,Nevada,39.5729,-119.7157
Wichita Falls,Texas,33.9072,-98.5291
San Mateo,California,37.5521,-122.3122
Columbia,Maryland,39.2004,-76.859
Norwalk,California,33.9069,-118.0829
Rialto,California,34.1174,-117.3894
Manteca,California,37.7927,-121.2264
Arden-Arcade,California,38.6034,-121.381
El Cajon,California,32.8017,-116.9605
Burbank,California,34.1879,-118.3235
Longmont,Colorado,40.1686,-105.1005
Renton,Washington,47.4784,-122.1919
Vista,California,33.1896,-117.2386
Logan,Utah,41.74,-111.8419
Prescott Valley,Arizona,34.5983,-112.3176
Vacaville,California,38.359,-121.968
Edinburg,Texas,26.3197,-98.1596
Carmel,Indiana,39.965,-86.146
Spokane Valley,Washington,47.6626,-117.2346
San Angelo,Texas,31.4424,-100.4506
La Crosse,Wisconsin,43.824,-91.2268
Idaho Falls,Idaho,43.4872,-112.0362
Holland,Michigan,42.7677,-86.0985
Charlottesville,Virginia,38.0375,-78.4855
Longview,Texas,32.5193,-94.7621
Tracy,California,37.7269,-121.4522
Boca Raton,Florida,26.3752,-80.108
Lafayette,Colorado,39.9949,-105.0997
Lee's Summit,Missouri,38.9172,-94.3816
Rio Rancho,New Mexico,35.2872,-106.6981
South Fulton,Georgia,33.6269,-84.5802
Beaverton,Oregon,45.4779,-122.8168
Lawrence,Kansas,38.9597,-95.2641
Bismarck,North Dakota,46.8144,-100.7694
Orem,Utah,40.2983,-111.6992
Middletown,Ohio,39.5032,-84.366
San Tan Valley,Arizona,33.1879,-111.5472
San Marcos,California,33.135,-117.1744
Sandy,Utah,40.571,-111.8505
Federal Way,Washington,47.3091,-122.3358
Mandeville,Louisiana,30.3751,-90.0904
Hesperia,California,34.3975,-117.3147
Brockton,Massachusetts,42.0821,-71.0242
Compton,California,33.893,-118.2275
Riverview,Florida,27.8227,-82.3023
Fishers,Indiana,39.9589,-85.9661
Sunrise,Florida,26.1547,-80.2997
Bowling Green,Kentucky,36.9719,-86.4373
Roswell,Georgia,34.0391,-84.3513
Menifee,California,33.6909,-117.1849
Plantation,Florida,26.126,-80.2617
Dover,New Hampshire,43.1887,-70.8845
Quincy,Massachusetts,42.2516,-71.0183
Portsmouth,Virginia,36.8468,-76.354
Chino,California,33.9836,-117.6654
Lynn,Massachusetts,42.4779,-70.9663
Edmond,Oklahoma,35.6689,-97.4159
Hanford,California,36.3274,-119.6549
Dearborn,Michigan,42.3127,-83.2129
Livonia,Michigan,42.3972,-83.3733
South Gate,California,33.9448,-118.1926
Vineland,New Jersey,39.4653,-74.9981
Florence,South Carolina,34.1781,-79.7877
Portsmouth,New Hampshire,43.058,-70.7826
Slidell,Louisiana,30.2881,-89.7826
Lawton,Oklahoma,34.6176,-98.4203
Kirkland,Washington,47.6974,-122.2054
Missoula,Montana,46.875,-114.0214
Auburn,Alabama,32.6087,-85.4899
Rapid City,South Dakota,44.0716,-103.2204
Terre Haute,Indiana,39.4654,-87.3763
Suffolk,Virginia,36.6953,-76.6398
Blacksburg,Virginia,37.23,-80.4279
Mount Pleasant,South Carolina,32.8538,-79.8204
Carson,California,33.8374,-118.2559
Conroe,Texas,30.3239,-95.4825
Alafaya,Florida,28.5278,-81.1865
Livermore,California,37.6862,-121.7608
Westminster,California,33.7523,-117.9938
Germantown,Maryland,39.1755,-77.2643
Santa Monica,California,34.0232,-118.4813
New Braunfels,Texas,29.6994,-98.1148
Fall River,Massachusetts,41.7137,-71.1014
Albany,Georgia,31.5776,-84.1762
Miami Beach,Florida,25.8171,-80.1396
Norwalk,Connecticut,41.1144,-73.4215
San Leandro,California,37.7071,-122.1601
O'Fallon,Missouri,38.785,-90.7175
Newton,Massachusetts,42.3316,-71.2085
Muncie,Indiana,40.1989,-85.395
Citrus Heights,California,38.6948,-121.288
State College,Pennsylvania,40.7909,-77.8568
Town 'n' Country,Florida,28.0108,-82.576
Decatur,Illinois,39.8556,-88.9337
Jackson,Michigan,42.2431,-84.4037
Fort Myers,Florida,26.6195,-81.8303
Goodyear,Arizona,33.2613,-112.3622
Dalton,Georgia,34.769,-84.9712
Bryan,Texas,30.6657,-96.3668
Waukegan,Illinois,42.3697,-87.8716
Hawthorne,California,33.9146,-118.3476
Anderson,Indiana,40.0891,-85.6893
Redwood City,California,37.5026,-122.2252
Hoover,Alabama,33.3754,-86.8064
Lake Forest,California,33.6606,-117.6712
Napa,California,38.2976,-122.3011
Whittier,California,33.9678,-118.0188
Clifton,New Jersey,40.8631,-74.1575
Largo,Florida,27.9088,-82.7711
Bloomington,Minnesota,44.8306,-93.3151
Johns Creek,Georgia,34.0333,-84.2027
Newport Beach,California,33.6151,-117.8669
Mission,Texas,26.2041,-98.3251
Milpitas,California,37.4339,-121.8921
Troy,Michigan,42.5818,-83.1457
Madera,California,36.9631,-120.0782
Joplin,Missouri,37.0758,-94.5018
Chino Hills,California,33.9508,-117.7253
Alhambra,California,34.084,-118.1355
Franklin,Tennessee,35.9216,-86.8525
Melbourne,Florida,28.1085,-80.6627
Port Huron,Michigan,42.9822,-82.4387
Springfield,Ohio,39.9297,-83.7957
Mountain View,California,37.4,-122.0796
Zephyrhills,Florida,28.2408,-82.1796
St. Augustine,Florida,29.8977,-81.31
Flagstaff,Arizona,35.1872,-111.6195
Buena Park,California,33.8572,-118.0046
Pleasanton,California,37.6663,-121.8805
Silver Spring,Maryland,39.0028,-77.0207
Atascocita,Texas,29.9777,-95.1953
Westland,Michigan,42.3192,-83.3805
Auburn,Washington,47.3039,-122.2108
Cranston,Rhode Island,41.7658,-71.4857
Somerville,Massachusetts,42.3908,-71.1013
Folsom,California,38.6668,-121.1422
Springdale,Arkansas,36.1899,-94.1574
Deerfield Beach,Florida,26.305,-80.1277
Warwick,Rhode Island,41.7062,-71.4334
Cicero,Illinois,41.8445,-87.7593
Farmington Hills,Michigan,42.486,-83.3771
Newark,Ohio,40.0705,-82.4251
Williamsburg,Virginia,37.2692,-76.7076
Brooklyn Park,Minnesota,45.1112,-93.3505
Hattiesburg,Mississippi,31.3074,-89.317
Alexandria,Louisiana,31.2923,-92.4702
Lawrence,Massachusetts,42.7003,-71.1626
Florence,Alabama,34.8303,-87.6654
Valdosta,Georgia,30.8502,-83.2788
Plymouth,Minnesota,45.0225,-93.4618
Buckeye,Arizona,33.4314,-112.6429
Georgetown,Texas,30.6668,-97.6953
Cheyenne,Wyoming,41.1351,-104.79
Cedar Park,Texas,30.5106,-97.8196
The Villages,Florida,28.9021,-81.9888
Kokomo,Indiana,40.464,-86.1277
Tustin,California,33.7309,-117.8106
Lakewood,California,33.8471,-118.1221
Perris,California,33.7899,-117.2233
St. Joseph,Missouri,39.7599,-94.821
Flower Mound,Texas,33.0344,-97.1146
Pharr,Texas,26.1685,-98.1904
Pine Hills,Florida,28.5818,-81.4693
Alton,Illinois,38.9034,-90.1523
Loveland,Colorado,40.4166,-105.0623
Boynton Beach,Florida,26.5281,-80.0811
New Rochelle,New York,40.9305,-73.7836
Anderson,South Carolina,34.5211,-82.6479
Jonesboro,Arkansas,35.8212,-90.6791
Lebanon,Pennsylvania,40.3412,-76.4227
Parma,Ohio,41.3843,-81.7286
Layton,Utah,41.0769,-111.9621
Elizabethtown,Kentucky,37.703,-85.877
Texarkana,Texas,33.4487,-94.0815
Alameda,California,37.767,-122.2672
Kankakee,Illinois,41.1019,-87.8643
Watsonville,California,36.9206,-121.7706
Porterville,California,36.0644,-119.0338
Baytown,Texas,29.7586,-94.9669
Upland,California,34.1178,-117.6603
Davis,California,38.5552,-121.7365
Camarillo,California,34.223,-119.0322
South Jordan,Utah,40.557,-111.9782
Battle Creek,Michigan,42.2986,-85.2296
Bellflower,California,33.888,-118.1271
San Marcos,Texas,29.8736,-97.9381
San Ramon,California,37.7625,-121.9365
Lake Jackson,Texas,29.0516,-95.4522
Bethlehem,Pennsylvania,40.6266,-75.3679
Wyoming,Michigan,42.8909,-85.7066
Oshkosh,Wisconsin,44.0228,-88.5619
Hammond,Indiana,41.6169,-87.491
Waldorf,Maryland,38.6085,-76.9195
Missouri City,Texas,29.563,-95.5365
Pasco,Washington,46.2506,-119.1304
Wheeling,West Virginia,40.0752,-80.6951
Kendall,Florida,25.6697,-80.3556
Baldwin Park,California,34.0829,-117.9721
Rancho Cordova,California,38.574,-121.2523
Conway,Arkansas,35.0754,-92.4694
Gary,Indiana,41.5906,-87.3472
Altoona,Pennsylvania,40.5082,-78.4007
Lodi,California,38.1218,-121.2932
Arlington Heights,Illinois,42.0955,-87.9825
Bolingbrook,Illinois,41.6903,-88.1019
Rochester Hills,Michigan,42.6645,-83.1563
Winchester,Virginia,39.1735,-78.1746
Framingham,Massachusetts,42.3085,-71.4368
Hilton Head Island,South Carolina,32.1896,-80.7499
Centreville,Virginia,38.8391,-77.4388
Union City,California,37.603,-122.0187
Owensboro,Kentucky,37.7574,-87.1173
Jackson,Tennessee,35.6535,-88.8353
Cleveland,Tennessee,35.1817,-84.8707
Wausau,Wisconsin,44.962,-89.6459
Camden,New Jersey,39.9362,-75.1073
Anniston,Alabama,33.6712,-85.8136
Evanston,Illinois,42.0463,-87.6942
Apple Valley,California,34.5328,-117.2104
Mansfield,Ohio,40.7656,-82.5275
Caguas,Puerto Rico,18.2319,-66.0388
Schaumburg,Illinois,42.0307,-88.0838
Pocatello,Idaho,42.8724,-112.4646
Woodbury,Minnesota,44.9056,-92.923
